country,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Spain,,,,,,,,,,,,,,,,,,,,,,,,,7.2,6.9,7,6.7,6.7,6.6,6.3,6.3,6,6.1,5.7,5.7,5.8,,
Sri Lanka,,,,,,,8.3,,,,,8.7,,,,,8,,,,,,,6.8,,,,6.9,,,7.7,,,7.1,,,,7,
St. Lucia,,,,,,,,,,,,,,,,,5.2,,,,,,,,,,,,,,,,,,,,,,
Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.8,,,,,,,,
Suriname,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
Swaziland,,,,,,,,,,,,,,,,2.5,,,,,,4.5,,,,,,,,,4,,,,,,,,
Sweden,,,,,,,,,,,,,,,,,,,,,,,,,9.4,9.3,8.7,9.2,8.9,8.6,8.6,8.6,8.5,8.5,8.1,8.4,8.2,,
Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.4,7.4,7.5,7.8,7.8,7.9,8.1,7.9,7.8,7.8,,
Syria,,,,,,,,,,,,,,,,,,,,,,,,,,7.6,,,,,,,,,,,,,
Tajikistan,,,,,,,,,,,,,,,,,,,,,8.3,,,,7.9,7.8,,,7.4,,8.4,,,,,,7.4,,
Tanzania,,,,,,,,,,,,,7,,,,,,,,,6.8,,,,,,,6.3,,,,7.4,,,,,,
Thailand,,,5.4,,,,,,,6.1,,5.9,,5.4,,6.1,,6.2,,6.4,6.1,6.2,,6.3,,6.1,,6,6.5,6.4,6.5,6.6,7.2,6.6,6.9,7.1,7.5,,
Timor-Leste,,,,,,,,,,,,,,,,,,,,,,,7.3,,,,,,9.5,,,,,,,9.4,,,
Togo,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1,,,,,4.8,,,,5,,
Tonga,,,,,,,,,,,,,,,,,,,,,,,6.2,,,,,,,,6.7,,,,,,,,
Trinidad and Tobago,,,,,,,,,,4.9,,,,5.5,,,,,,,,,,,,,,,,,,,,,,,,,
Tunisia,,,,,,,5.5,,,,,5.9,,,,,5.7,,,,,6,,,,,6.4,,,,,6.7,,,,,,,
Turkey,,,,,,,,,5.9,,,,,,,5.8,,,,,,,,5.8,5.5,5.4,5.2,5.6,5.8,5.7,5.9,5.9,5.8,5.8,5.8,5.8,5.6,5.7,
Turkmenistan,,,,,,,,,,,,,,,,,,,,6.1,,,,,,,,,,,,,,,,,,,
Tuvalu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.6,,,,,,,
Uganda,,,,,,,,,,,4.9,,,6.2,,,,6.8,,,5.9,,,5.9,,,6.1,,,,5.9,,,6.4,,,,6.1,
Ukraine,,,,,,,,,,,,,,8,8.8,,6.2,7.1,,,,,,8.8,9.1,8.8,8.8,8.8,9.5,9.6,10,10.2,10.2,10.2,10.3,10.5,10,10.1,
United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,6.7,6.9,7.1,7,7.2,7.2,7.4,7.4,7.6,7.4,7.3,7.5,,
United States,6.4,,,,,,,5.5,,,,,5.5,,,5.3,,,5.3,,,5.4,,,,5.2,,,5.1,,,5.1,,,5.1,,,5,
Uruguay,,,5,,,,,,,,5.3,,,,,,,,,,,,,,,,,4.9,4.8,5,4.8,5.1,5.4,5.6,5.6,5.6,5.6,5.8,
Uzbekistan,,,,,,,,,,,,,,,,,,,,4,,7.1,,8.2,7.4,,,,,,,,,,,,,,
Vanuatu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.7,,,,,,,
Venezuela,,,3.1,,,,,,3.4,,3.7,,,4.8,,,3.8,,,2.9,3.5,,3.5,2.6,2.2,2.3,1.5,3.2,,,,,,,,,,,
Vietnam,,,,,,,,,,,,,,7.8,,,,,,8,,,,7.5,,7.2,,7.2,,7.4,,6.5,,7.1,,7.1,,6.9,
Yemen,,,,,,,,,,,,,,,,,,,,7.1,,,,,,,7.9,,,,,,,,,7.3,,,
Zambia,,,,,,,,,,,,,0.9,,3,,,4.5,,4.3,,,,6.1,,3.5,,3.5,,,,3.8,,,,,2.9,,
Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.8,,,,,,
